MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2768.712937,2933.676825,,2922.055361,,3308.559275,,3223.263931,,1976.962564,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,6334.343748,7217.786815,,7681.1198,,7817.748477,,7229.258436,,7605.028306,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70206,14569.92309,,11773.85895,,6701.845313,,1462.700084,,-3109.034867,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56195,11838.83235,,9437.443637,,4449.705112,,-28.09131878,,-2400.920003,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|CO2|Land Use,Mt CO2/yr,5443.932536,4810.970075,,4429.826492,,3591.948126,,2226.297463,,916.2017786,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|F-Gases,Mt CO2-equiv/yr,469.2425355,675.5798162,,776.8052235,,802.5284892,,664.6885961,,539.6936775,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,45262.65028,49868.68092,,44440,,36360,,27270,,19627.66667,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|N2O,kt N2O/yr,9589.551477,10234.13718,,9657.690513,,8868.01169,,7964.814309,,7256.707438,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|CH4,Mt CH4/yr,348.9808039,367.0240786,,241.9367886,,205.5696086,,194.7463395,,179.7875288,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|CO2,Mt CO2/yr,34492.04991,38321.77599,,35588.62986,,28531.65575,,20200.07061,,13351.39383,,,,,,,,,,
